dataset_key,dataset_name,model_order,model_display_name,algorithm,window_size,n_features,train_windows,test_windows,timing_repetitions,platform_status,base_status,platform_error_message,base_error_message,average_platform_time_s,average_base_time_s,overhead_s,speedup_base_over_platform,platform_threshold,base_threshold,accuracy,precision,recall,f1,platform_roc_auc_scores,base_roc_auc_scores,roc_auc_diff,platform_pr_auc_scores,base_pr_auc_scores,pr_auc_diff
ai4i,ai4i_2020_predictive_maintenance_dataset,20,ChenChen,chenchen,24,5,7977,1977,3,failed,failed,max_pool1d() Invalid computed output size: 0,max_pool1d() Invalid computed output size: 0,,,,,,,,,,,,,,,,
ai4i,ai4i_2020_predictive_maintenance_dataset,21,GenMinxing,genminxing,24,5,7977,1977,3,failed,failed,"input.size(-1) must be equal to input_size. Expected 24, got 5","input.size(-1) must be equal to input_size. Expected 24, got 5",,,,,,,,,,,,,,,,
ai4i,ai4i_2020_predictive_maintenance_dataset,22,HuangMeiLing,huangmeiling,24,5,7977,1977,3,failed,failed,Calculated padded input size per channel: (7). Kernel size: (15). Kernel size can't be greater than actual input size,Calculated padded input size per channel: (7). Kernel size: (15). Kernel size can't be greater than actual input size,,,,,,,,,,,,,,,,
ai4i,ai4i_2020_predictive_maintenance_dataset,23,DaiXiLi,daixili,24,5,7977,1977,3,failed,failed,mat1 and mat2 shapes cannot be multiplied (1024x1 and 250x16),mat1 and mat2 shapes cannot be multiplied (1024x1 and 250x16),,,,,,,,,,,,,,,,
metro_interstate,metro_interstate_traffic_volume,1,OhShuLih,ohshulih,24,4,38540,9618,3,ok,ok,,,21.975,21.4997,0.4753,0.9784,0.424826,0.424525,0.2514,0.0,0.0,0.0,0.5442,0.5446,-0.0004,0.7769,0.777,-0.0001
metro_interstate,metro_interstate_traffic_volume,2,GaoJunLi,gaojunli,24,4,38540,9618,3,ok,ok,,,16.3121,16.8598,-0.5477,1.0336,0.584922,0.570584,0.2589,0.9186,0.011,0.0217,0.5515,0.5486,0.0029,0.7824,0.7815,0.0009
metro_interstate,metro_interstate_traffic_volume,3,KongZhengmin,kongzhengmin,24,4,38540,9618,3,failed,failed,Calculated padded input size per channel: (4). Kernel size: (5). Kernel size can't be greater than actual input size,Calculated padded input size per channel: (4). Kernel size: (5). Kernel size can't be greater than actual input size,,,,,,,,,,,,,,,,
metro_interstate,metro_interstate_traffic_volume,4,CaiWenjuan,caiwenjuan,24,4,38540,9618,3,failed,failed,Given input size: (43x1x1). Calculated output size: (43x1x0). Output size is too small,Given input size: (43x1x1). Calculated output size: (43x1x0). Output size is too small,,,,,,,,,,,,,,,,
metro_interstate,metro_interstate_traffic_volume,5,WangKejun,wangkejun,24,4,38540,9618,3,failed,failed,max_pool1d() Invalid computed output size: 0,max_pool1d() Invalid computed output size: 0,,,,,,,,,,,,,,,,
metro_interstate,metro_interstate_traffic_volume,6,ZhengZhenyu,zhengzhenyu,24,4,38540,9618,3,failed,failed,max_pool1d() Invalid computed output size: 0,max_pool1d() Invalid computed output size: 0,,,,,,,,,,,,,,,,
